NO_PRESTADOR;FANTASIA;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;TELEFONE1;TELEFONE2
CLINICA DE PSICOLOGIA INFANTIL RENATA CASSOL EIREL;CLINICA DE PSICOLOGIA INFANTIL E PSICOPEDAGOGIA;;;;;;;PSICOLOGIA;;
CLINICA DE PSICOLOGIA JESSICA DORNELES LTDA;CLINICA DE PSICOLOGIA JESSICA DORNELES LTDA;113;CEARA;CENTRO;CHARQUEADAS;RS;CRS 02 Porto Alegre;PSICOLOGIA;;
CLINICA DE PSICOLOGIA PSICOLIFE LTDA;PSICOLIFE;50;RUA LÍBIO CARLOS DE OLIVEIRA;MARAJOARA;TEOFILO OTONI;MG;Teófilo Otoni;PSICOLOGIA;35234163;
CLINICA DE PSICOLOGIA SALANDINI E REIS LTDA;CLIADH CLINICA INTEGRADA ATENCAO DESENV HUMANO;562;RUA VICENTE DE CARVALHO;JARDIM SUMARÉ;RIBEIRAO PRETO;SP;Ribeirão Preto;PSICOLOGIA  / NUTRICAO;36327469;
CLINICA DE REABILITACAO CONCEICAO PONTES EIRELI;CLINICA DE REABILITACAO CONCEICAO PONTES;210;ANTONIO IMBIRIBA;SANTA TEREZINHA;ORIXIMINA;PA;Calha Norte;PSICOLOGIA  / NUTRICAO / FISIOTERAPIA / MÉDICO GENERALISTA;;
CLINICA DE SAUDE E NEURODESENVOLVIMENTO CASA AZUL LTDA;CASA AZUL;1207;VIUVA MARIA ANTONIA DOS SANTOS;PINGUIRITO;GAROPABA;SC;Grande Florianópolis;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;
CLINICA DE TERAPIAS INDIVIDUAIS PERSONALIZADAS LTDA;CLINICA DE TERAPIAS INDIVIDUAIS PERSONALIZADAS;1020;RUA PADRE ANCHIETA;MERCÊS;CURITIBA;PR;Metropolitana;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;30953888;
CLINICA DE TERAPIAS INTEGRADAS SOM MAIOR LTDA.;CCLINICA DE TERAPIAS INTEGRADAS SOM MAIOR;1257; EUCLIDES DA CUNHA;ZONA 05;MARINGA;PR;Maringá;FISIOTERAPIA / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA;41411566;
CLINICA DE TRATAMENTO HUMANO TRAUMASPORT LTDA;CLINICA TRAUMASPORT;950;RUA CORONEL LINHARES;ALDEOTA;FORTALEZA;CE;Fortaleza;ORTOPEDIA E TRAUMATOLOGIA;;
CLINICA DIAGNOSTICO IMAGEM CDI;CDI;232;  RUA DESEMBARGADOR CANEDO;CENTRO;MURIAE;MG;Ubá;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;37219778;
CLINICA DO CORACAO CLINICOR LTDA;CLINICOR;516;AVENIDA MINISTRO URBANO MARCONDES;VILA PARAÍBA;GUARATINGUETA;SP;Taubaté;CLÍNICA MÉDICA / CARDIOLOGIA  / PSICOLOGIA;31970187;
CLINICA DO CORACAO DR MARCUS VINICIUS BATISTA LTDA;CLINICA DO CORACAO DR MARCUS VINICIUS BATISTA;3200;RUA JOAQUIM NABUCO;SÃO CRISTÓVÃO;PORTO VELHO;RO;Departamento de Epidemiologia;CARDIOLOGIA;;
CLINICA DO PANTANAL LTDA;CLINICA PANTANAL;10;SALVINA MARIA DO CARMO;FLAVIO GARCIA;COXIM;MS;NCT de Coxim;MEDICINA FISICA E REABILITACAO  / MEDICINA DA FAMÍLIA E COMUNIDADE;;
CLINICA DO PULMAO E ALERGIA LTDA;CLINICA DO PULMAO E ALERGIA;1259;SÃO MARCOS;SANTA MARIA;CHAPECO;SC;Chapecó;PNEUMOLOGIA;39522929;
CLINICA DO SONO ALYNE BASSO LTDA;INSTITUTO DO SONO DE PRAIA GRANDE;202;RUA PRAIA DOS SONHOS;GUILHERMINA;PRAIA GRANDE;SP;Baixada Santista;NEUROLOGIA;35914901;
CLINICA DO TRABALHADOR CENTRO DE DIAGNOSTICOS MEDICOS LTDA;CLINICA DO TRABALHADOR;131;AVENIDA JK;VALE DOURADO;CANAA DOS CARAJAS;PA;Serra dos Carajás;GINECOLOGIA E OBSTETRICIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / FISIOTERAPIA / NEUROLOGIA  / CARDIOLOGIA  / CLÍNICA MÉDICA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / NUTRICAO;;
CLINICA DR GIANCARLO CASTRO LIMA LTDA;MED MEDICINA ESPECIALIZADA;311;AV MATA PEREIRA;CENTRO;CRUZ DAS ALMAS;BA;Cruz das Almas;OFTALMOLOGIA;;
CLINICA DR RICARDO XAVIER LTDA;CLINICA DR RICARDO XAVIER;165;PRC 07 DE SETEMBRO 9;BOM JESUS;BOM JESUS;PI;TD Chapada das Mangabeiras;ORTOPEDIA E TRAUMATOLOGIA  / CARDIOLOGIA  / COLOPROCTOLOGIA / CIRURGIA VASCULAR / OTORRINOLARINGOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CLÍNICA MÉDICA / DERMATOLOGIA   / ANGIOLOGIA / PSIQUIATRIA  / GINECOLOGIA E OBSTETRICIA  / ENDOCRINOLOGIA E METABOLOGIA / PEDIATRIA  / CIRURGIA GERAL  / OFTALMOLOGIA  / UROLOGIA  / GERIATRIA   / NEUROLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;35622897;
CLINICA DRA RAFAELA CORREA LTDA;CLINICA DRA RAFAELA CORREA;1333;RUA MARCOS MACÊDO;ALDEOTA;FORTALEZA;CE;Fortaleza;ENDOCRINOLOGIA E METABOLOGIA;21815963;
CLINICA EM SI DESENVOLVIMENTO INFANTIL LTDA;CLINICA EM. SI;32;AVENIDA GOVERNADOR CHRISTIANO DIAS LOPES FILHO;DOUTOR GILBERTO MACHADO;CACHOEIRO DE ITAPEMIRIM;ES;SR Cachoeiro do Itapemirim;TERAPIA OCUPACIONAL / FISIOTERAPIA / FONOAUDIOLOGIA  / PSICOLOGIA;;
CLINICA GENESIS LTDA;CLINICA GENESIS;1866;AVENIDA PARANAIBA;CENTRO;ARAGUAINA;TO;Região de Saúde Médio Norte;PSICOLOGIA  / OFTALMOLOGIA;34141328;
CLINICA GINECOLOGIA VIDA LTDA;ESPAÇO VITA;1601;RUA SETE DE SETEMBRO;ALTO CAFEZAL;MARILIA;SP;Marília;GINECOLOGIA E OBSTETRICIA;33162600;
CLINICA INSPIRAR LTDA;CLINICA INSPIRAR;718;AVENIDA VISCONDE DO RIO BRANCO;CENTRO;TEOFILO OTONI;MG;Teófilo Otoni;PSICOLOGIA;;
CLINICA INTEGRADA DE CARDIOLOGIA CLINC LTDA;CLINICA INTEGRADA DE CARDILOGIA CLINC;161;RUA ANTÔNIO RABELO JÚNIOR;MIRAMAR;JOAO PESSOA;PB;I Núcleo Regional de Saúde;PNEUMOLOGIA  / CIRURGIA CARDIOVASCULAR  / CARDIOLOGIA;31910000;
CLINICA INTEGRADA DE TERAPIAS ESPECIAIS DO PARANA LTDA;INSTITUTO SER CRIANCA;2020;RUA DOUTOR GOULIN;JUVEVÊ;CURITIBA;PR;Metropolitana;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA / PSICOLOGIA;31143266;
CLINICA INTEGRADA OESTE LTDA;OTIOUVE CLINICA INTEG DE SAUDE AUDITIVA;1565;RUA FLORIANÓPOLIS - E;SANTA MARIA;CHAPECO;SC;Chapecó;FONOAUDIOLOGIA;33223239;
CLINICA INTEGRAR LTDA;CLINICA INTEGRAR;170;AVENIDA AFFONSO PENNA;MACUCO;SANTOS;SP;Baixada Santista;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;
CLINICA INTERSER LTDA;CLINICA INTERSER;389;R PRISCILA B DUTRA;BURAQUINHO;LAURO DE FREITAS;BA;Salvador;NUTRICAO / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA;35088849;
CLINICA JENNY CASTRO LTDA ME;ESPACO TERAPEUTICO THERAPY;170;RUA PRIMEIRO DE MAIO;CENTRO;TERESINA;PI;TD Entre Rios;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;32332949;
CLINICA KHRONOS SERVICOS MEDIDOS ESPECIALIZADOS;CLINICA KHRONOS;500;VICENTE LINHARES;ALDEOTA;FORTALEZA;CE;Fortaleza;GERIATRIA;35338622;
CLINICA LAISE FONTELLES LTDA;CLÍNICA LAISE FONTELLES;700;AVENIDA RÔMULO MAIORANA;MARCO;BELEM;PA;Metropolitana;OTORRINOLARINGOLOGIA  / GINECOLOGIA E OBSTETRICIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;33513332;
CLINICA LUUPA LTDA;LUUPA INSTITUTO ESPECIALIZADO EM NEURODESENVOLVIME;170;AVENIDA PARANÁ;MARACANÃ;FOZ DO IGUACU;PR;Foz do Iguaçu;FONOAUDIOLOGIA  / PSICOLOGIA;;
CLINICA MEDIAR PAULISTA SERVICOS MEDICOS DIAGNOSTICOS E TERAPEUTICOS L;MEDIAR;242;RODOVIA PE-15;CENTRO;PAULISTA;PE;Recife;PSICOLOGIA  / CLÍNICA MÉDICA / PSIQUIATRIA;34658209;
CLINICA MEDICA DRA CENISE GAYER S S LTDA;CENTRO DE ENDOSCOPIA DRA CENISE GAYER;200;PRAÇA  MAASTRICHT;CONDOMINIO RESIDENCIAL EUROVILLE;BRAGANCA PAULISTA;SP;Campinas;GASTROENTEROLOGIA  / ENDOSCOPIA;40340161;
CLINICA MEDICA DRA LUCIANA FLORENZANO LIMITADA;CLINICA MEDICA DRA LUCIANA FLORENZANO LIMITADA;38;RUA QUARENTA E OITO;VILA SANTA CECÍLIA;VOLTA REDONDA;RJ;Médio Paraíba;GINECOLOGIA E OBSTETRICIA;33481048;
CLINICA MEDICA M&A LTDA;VITALLE CENTRO MÉDICO;93;PC DELMIRO GOUVEIA;CENTRO;DELMIRO GOUVEIA;AL;Região 03;GINECOLOGIA E OBSTETRICIA  / CARDIOLOGIA  / FONOAUDIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / PSICOLOGIA  / MÉDICO GENERALISTA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / UROLOGIA  / NUTRICAO;;
CLINICA MEDICA MARIANE VOTUPORANGA;CLINICA MEDICA MARIANE LTDA;3320;RUA ALFREDO RODRIGUES SIMÕES;CHÁCARA AVIAÇÃO;VOTUPORANGA;SP;São José do Rio Preto;UROLOGIA;;
CLINICA MEDICA RADER LTDA;CLINICA MEDICA RADER LTDA;48;RUA ARNO KIEFFER;VILA CICMA;ADAMANTINA;SP;Marília;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;35213697;
CLINICA MEDICA SOUTO GANDRA S S ME;CLINICA MEDICA SOUTO GANDRA S S;805;AVENIDA GETÚLIO VARGAS;CENTRO;DIVINOPOLIS;MG;Divinópolis;CIRURGIA PLÁSTICA / CIRURGIA PEDIATRICA;32226452;
CLINICA MEDICA VASCULARIS LTDA;CLINICA MEDICA VASCULARIS;358;RUA BOTAFOGO;GUILHERMINA;PRAIA GRANDE;SP;Baixada Santista;COLOPROCTOLOGIA / ORTOPEDIA E TRAUMATOLOGIA  / CIRURGIA GERAL  / CARDIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CIRURGIA VASCULAR / OTORRINOLARINGOLOGIA  / NUTRICAO;30188556;
CLINICA METHOD SERVICOS EM SAUDE LTDA;CLINICA METHOD SERVICOS EM SAUDE;1972;RUA RUI BARBOSA;CENTRO;CAMPO GRANDE;MS;NCT de Campo Grande;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;;
CLINICA MINDRA LTDA;CLINICA MINDRA;126;RUA JOSÉ EVARISTO FOGAÇA;VILA MOEMA;TUBARAO;SC;Tubarão;ACUPUNTURA;36323081;
CLINICA MULTIDICIPLINAR SERSINAPSI LTDA;CLINICA MULTIDICIPLINAR SERSINAPSI SAO VICENTE;825;RUA JOÃO RAMALHO;CENTRO;SAO VICENTE;SP;Baixada Santista;PSICOLOGIA;;
CLINICA MULTIDISCIPLINAR ESPACO FELIZ LTDA;CLINICA ESPACO FELIZ;48;ROQUE FERREIRA DE CASTRO;CENTRO;ESPERA FELIZ;MG;Manhumirim;PSICOLOGIA  / FISIOTERAPIA / FONOAUDIOLOGIA  / NUTRICAO / TERAPIA OCUPACIONAL;;
CLINICA MULTIDISCIPLINAR POLLYANNE ALVES;CLINICA MULTIDISCIPLINAR POLLYANNE ALVES;413;RUA RIO NEGRO;HELIÓPOLIS;GARANHUNS;PE;Garanhuns;NUTRICAO / FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA;;
CLINICA MUNDO KIDS LTDA;CLINICA MUNDO KIDS LTDA;947;RUA INÁCIO DO LEÃO;SANTO ANTÔNIO;PATOS;PB;VI Núcleo Regional de Saúde;FISIOTERAPIA / FONOAUDIOLOGIA  / PSICOLOGIA  / PEDIATRIA  / TERAPIA OCUPACIONAL;;
CLINICA NUTRIRAMOS LTDA;CLINICA NUTRIRAMOS LTDA;119;BARROS COBRA;CENTRO;CALDAS;MG;Pouso Alegre;NUTRICAO;;
CLINICA OFTALMOLOGICA DRA. RITA LAVINIA LTDA;CLINICA OFTALMOLOGICA DRA.RITA LAVINIA;761;RUA DA ALFAZEMA;CAMINHO DAS ÁRVORES;SALVADOR;BA;Salvador;OFTALMOLOGIA;22034444;
CLINICA OFTALMOLOGICA GUARNIERI E ASSOCIADOS S S LTDA;CLINICA OFTALMOLOGICA GUARNIERI E ASSOCIADOS S S;47;PRAÇA AMADEU AMARAL, 47;BELA VISTA;SAO PAULO;SP;Grande São Paulo;OFTALMOLOGIA;33730049;
CLINICA OFTALMOS LTDA;CLINICA RAMOS;491;RUA ALFREDO CHAVES;CENTRO;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;OFTALMOLOGIA;32144343;
CLINICA ORTOTRAUMA LTDA;CLINICA ORTOTRAUMA LTDA;190;RUA HAMILTON NAVARRO;SÃO SEBASTIÃO;BARBACENA;MG;Barbacena;CARDIOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / NEUROLOGIA  / NUTROLOGIA / OTORRINOLARINGOLOGIA;33338080;
CLINICA OTORRINO CAETITE LTDA;OTORRINO CAETITE;172;AVENIDA SANTANA;CENTRO;CAETITE;BA;Caetité;OTORRINOLARINGOLOGIA;34542728;
CLINICA OTORRINOLARINGOLOGICA OTOFACIAL LTDA;OTOFACIAL;505;RUA CORONEL PEDRO BENEDET;CENTRO;CRICIUMA;SC;Criciúma;OTORRINOLARINGOLOGIA;34371400;
CLINICA PEDIATRICA BABYCLIN LTDA;BABYCLIN PEDIATRIA;1102;JOÃO LISBOA;CENTRO;IMPERATRIZ;MA;Tocantins;PEDIATRIA;35246819;
CLINICA PEDIATRICA BARRETO ARRUDA LTDA;CLINICA PEDIATRICA DRA MARCIA  ARRUDA;56;RUA TENENTE ANTÔNIO JOÃO;GRAÇAS;RECIFE;PE;Recife;PEDIATRIA;;
CLINICA PERSIVAL ANGELO LTDA;INPA INSTITUTO DE NEUROPSICOLOGIA;71;RUA DOUTOR ROBERT KOCH;ATIRADORES;JOINVILLE;SC;Joinville;PSICOLOGIA;39522900;
CLINICA PISICOLOGICA LTDA;CLINICA PSICOLOGICA EDUARDA SANTOS SOARES;767;AVENIDA GUILHERME FERREIRA;SÃO BENEDITO;UBERABA;MG;Uberaba;PSICOLOGIA;;
CLINICA PRO SPERE SERVICOS DE SAUDE LTDA;CLINICA PRO SPERE SERVICOS DE SAUDE LTDA;2909;RUA VICENTE LEITE;TAUAPE;FORTALEZA;CE;Fortaleza;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;
CLINICA PSICOLOGIA INTEGRATIVA;DEBORA ROBERTA SAMPAIO FELIX;0;ISRAEL OVIDIO NOGUEIRA JUNIOR;CENTRO;BARRA DO BUGRES;MT;Tangará da Serra;PSICOLOGIA;;
CLINICA PSICOLOGIA L A O LTDA;CLINICA PSICOLOGIA L A O;1342;RUA ALMIRANTE BARROSO;CENTRO;SAO MIGUEL D'OESTE;SC;São Miguel do Oeste;PSICOLOGIA;;
CLINICA PSICOLOGICA RODRIGUES SILVA LTDA;CLIC PSICOLOGIA CLINICA IRENA CUNHA DE PSICOLOGIA;23;RUA ALAOR PRATA;CENTRO;UBERABA;MG;Uberaba;PSICOLOGIA;33382080;
CLINICA REABILITAR MULTI LTDA;CLINICA REABILITAR MULTI;543;AVENIDA SENADOR JOSÉ LOURENÇO DIAS;CENTRO;ANAPOLIS;GO;Pirineus;FISIOTERAPIA;33210716;
CLINICA REAL GINECO LTDA;REAL GINECO;4760;AVENIDA GOVERNADOR AGAMENON MAGALHÃES;PAISSANDU;RECIFE;PE;Recife;GINECOLOGIA E OBSTETRICIA;34167555;34167343
CLINICA RENAL DE RIO BRANCO SERVICOS MEDICOS LTDA;CLINICA RENAL DE RIO BRANCO;3864;RODOVIA BR-364;CONJUNTO TUCUMÃ;RIO BRANCO;AC;Acre;NEFROLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;33017243;
CLINICA RENAL NORTE LTDA;INSTITUTO RENAL NORTE;1150;TRAVESSA LOMAS VALENTINAS;PEDREIRA;BELEM;PA;Metropolitana;CARDIOLOGIA  / NEFROLOGIA  / UROLOGIA;;
CLINICA SAUDE INTEGRADA LTDA;CLINICA SAUDE INTEGRADA;22;ALAMEDA MANOEL AIRES;ESTRELA;CASTANHAL;PA;Rio Guamá;FISIOTERAPIA / NUTRICAO / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;
CLINICA SIMOES SIMOES S S LTDA;ADRIANA SIMOES DERMATOLOGIA;3100;RUA DOS MUNDURUCUS RD METROPOLITAN TAWER;CREMAÇÃO;BELEM;PA;Metropolitana;DERMATOLOGIA;;
CLINICA SINGULAR - PSICOLOGIA E NEUROPSICOLOGIA LTDA;CLINICA SINGULAR;1308;RUA BOM JESUS;CIDADE ALTA;PIRACICABA;SP;Piracicaba;PSICOLOGIA;;
CLINICA TODOS SERVICOS DE PSICOLOGIA E TERAPIAS LTDA;CLINICA TODOS;960;MARCELO GAMA -;SAO JOAO;PORTO ALEGRE;RS;CRS 01 Porto Alegre;NUTRICAO / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA / PSICOLOGIA  / FONOAUDIOLOGIA;33720430;
CLINICA UTIDA LTDA;CLINICA UTIDA LTDA;1001;RUA ALCÍDIO VIANA;SÃO PEDRO;SAO JOSE DOS PINHAIS;PR;Metropolitana;GINECOLOGIA E OBSTETRICIA  / CLÍNICA MÉDICA;33832587;
CLINICA VENUS ITZ LTDA;CLINICA VENUS ITZ;155;RUA URBANO SANTOS;CENTRO;IMPERATRIZ;MA;Tocantins;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / DERMATOLOGIA;;
CLINICA VIDA BEM ESTAR LTDA;CLINICA VIDA BEM ESTAR;761;AVENIDA PRETESTATO FERREIRA MACHADO;JATIÚCA;MACEIO;AL;Região 01;FONOAUDIOLOGIA  / NUTRICAO / PSICOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;;
CLINICA VILLAS BOAS S A;CLINICA VILLAS BOAS S A;716;SHLS QUADRA 716  CONJUNTO N BLOCO D;ASA SUL;BRASILIA;DF;Distrito Federal;MEDICINA NUCLEAR  / ANESTESIOLOGIA  / CARDIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;21915050;
CLINICA VITAL HEALTH LTDA;CLINICA VITAL HEALTH;1800;AVENIDA DESEMBARGADOR MOREIRA;ALDEOTA;FORTALEZA;CE;Fortaleza;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA / PSICOLOGIA;;
CLINICA VIVA SIMON LTDA;CLINICA VIVA SIMON;126;RUA LACERDA COUTINHO;CENTRO;FLORIANOPOLIS;SC;Grande Florianópolis;PSIQUIATRIA  / OFTALMOLOGIA  / DERMATOLOGIA   / CIRURGIA VASCULAR / FONOAUDIOLOGIA  / PEDIATRIA  / ORTOPEDIA E TRAUMATOLOGIA  / GASTROENTEROLOGIA  / PSICOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / NEUROLOGIA  / PNEUMOLOGIA  / OTORRINOLARINGOLOGIA  / NEUROCIRURGIA  / GINECOLOGIA E OBSTETRICIA;40092728;
CLINICA VIVACE LTDA;VIVACE;150;AVENIDA MARANHÃO;BELA VISTA;ITAITUBA;PA;Rio Tapajós;FISIOTERAPIA;;
CLINIVIDA CLINICA MEDICA LTDA;CLINIVIDA CLINICA MEDICA;622;AVENIDA GETÚLIO VARGAS;CENTRO;DIVINOPOLIS;MG;Divinópolis;PEDIATRIA;32212397;
CLINLAB LTDA;CLINLAB;860;AVENIDA JOÃO DE BARROS;SANTO AMARO;RECIFE;PE;Recife;MASTOLOGIA  / PEDIATRIA;21257925;21257924
CLIPPSIN CLINICA DE PSICOLOGIA NEUROPSICOLOGIA E ESPECIAL;CLIPPSIN;3444;AVENIDA DOUTOR CLÁUDIO JOSÉ GUEIROS LEITE;JANGA;PAULISTA;PE;Recife;FONOAUDIOLOGIA  / PSICOLOGIA  / NUTRICAO / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;;
CMSP - CENTRO MULTIDISCIPLINAR DE SERVICOS PEDAGOGICOS;CLINICA AFLORAR;797;AVENIDA VISCONDE DE SUASSUNA;SANTO AMARO;RECIFE;PE;Recife;TERAPIA OCUPACIONAL / PSICOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / NUTRICAO / FISIOTERAPIA / FONOAUDIOLOGIA;37716081;
COLORIDAMENTE CLINICA MULTIDISCIPLINAR E CONSULTORIA EDUC INC LTDA;COLORIDAMENTE CLINICA MULTIDISCIPLINAR;256;CORONEL PEDRO PARANHOS;CENTRO;PALMARES;PE;Palmares;TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA / FONOAUDIOLOGIA  / PSICOLOGIA;;
CON CORDIS NUCLEO DIAGNOSTICO LTDA;GAIA;607;ANTONIO OLIMPIO DE MORAIS;CENTRO;DIVINOPOLIS;MG;Divinópolis;CARDIOLOGIA;35120718;
CONECTAR INSTITUTO MULTIDISCIPLINAR LTDA;CONECTAR;318;RUA 252;MEIA PRAIA;ITAPEMA;SC;Balneário Camboriú;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / FISIOTERAPIA;;
CONFIAR - CENTRO DE ONCOLOGIA E FISICA APLICADA A RADIOTERAP;CONFIAR RADIOTERAPIA;1919;AVENIDA T 5;SERRINHA;GOIANIA;GO;Central;RADIOTERAPIA;34342066;
CONFIARE SAUDE ASSISTENCIA DOMICILIAR LTDA;CONFIARESAUDE ASSISTENCIA DOMICILIAR LTDA;3107;ESTRADA DO ARRAIAL;TAMARINEIRA;RECIFE;PE;Recife;PSICOLOGIA  / NUTRICAO / CLÍNICA MÉDICA / CIRURGIA GERAL  / ENFERMAGEM  / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / REMOCOES  / FISIOTERAPIA;;
CONNECT SAUDE LTDA;CONNECT SAUDE;448;AVENIDA REYNALDO AMARANTE;JARDIM SANTA AUGUSTA;POCOS DE CALDAS;MG;Pouso Alegre;CARDIOLOGIA  / PSIQUIATRIA  / CLÍNICA MÉDICA / GINECOLOGIA E OBSTETRICIA  / PEDIATRIA  / PSICOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA;37222080;
CONSTANTE MEDICAL CENTER LTDA;Clínica Constante;50;RUA QUINZE DE NOVEMBRO;CENTRO;SANTOS;SP;Baixada Santista;PSICOLOGIA;30101797;
CONSTANTE MEDICAL CENTER LTDA;Clínica Constante;444;AVENIDA CONSELHEIRO NÉBIAS;ENCRUZILHADA;SANTOS;SP;Baixada Santista;PSICOLOGIA;32246900;
CONSULTORIO DE DERMATOLOGIA DRA SISSE;SISSE DERMATOLOGISTA;72;RUA CARLOS GOMES;MECEJANA;BOA VISTA;RR;Secretaria Estadual de Saúde;DERMATOLOGIA;;
CONSULTORIO MEDICO AV MED LTDA;CLIMETO;337;RUA BOSSUET WANDERLEY;CENTRO;PATOS;PB;VI Núcleo Regional de Saúde;ORTOPEDIA E TRAUMATOLOGIA;21470698;
CONSULTORIO MILENA MARREIROS LTDA;CONSULTORIO MILENA MARREIROS;547;01 DE MAIO;CENTRO;VALENCA DO PIAUI;PI;TD Vale do Sambito;PSICOLOGIA;;
CONSULTORIO POLICLINICO SS LTDA;;10;RUA SANTA CECÍLIA;CENTRO;PETROLINA;PE;Petrolina;NEUROLOGIA  / GASTROENTEROLOGIA  / CARDIOLOGIA  / OFTALMOLOGIA  / CIRURGIA GERAL  / CIRURGIA VASCULAR;30328549;
COOPERATIVA DE SERVICOS MEDICOS PEDIATRICOS DE PERNAMBUCO;COPEPE;4775;AV. AGAMENON MAGALHÃES;ILHA DO LEITE;RECIFE;PE;Recife;PEDIATRIA  / ENDOCRINOLOGIA E METABOLOGIA / GASTROENTEROLOGIA  / ALERGIA E IMUNOLOGIA  / PNEUMOLOGIA;21257466;
COOPERATIVA DOS MEDICOS ANESTESIOLOGISTAS DO NORTE DE MINAS GERAIS;COOPANEST NM;362;RUA DOUTOR SANTOS;CENTRO;MONTES CLAROS;MG;Montes Claros;ANESTESIOLOGIA;22118800;
CORTES & CERAVOLO SERVICOS MEDICOS SS LTDA;CORTES CERAVOLO SERVICOS MEDICOS;1465;AVENIDA WASHINGTON LUIZ;CENTRO;PRESIDENTE PRUDENTE;SP;Presidente Prudente;OTORRINOLARINGOLOGIA;32033283;
COTTA - CENTRO DE OTORRINOLARINGOLOGIA DE TAGUATINGA LTDA;COTTA LTDA;10;ÁREA ESPECIAL SETOR C NORTE;TAGUATINGA NORTE (TAGUATINGA);BRASILIA;DF;Distrito Federal;OTORRINOLARINGOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO;30372192;
CRESCER PSICOLOGIA E SAUDE INTEGRATIVA LTDA;CRESCER PSICOLOGIA E SAUDE INTEGRATIVA;1165;RUA PADRE ZEFERINO;FABRÍCIO;UBERABA;MG;Uberaba;PSICOLOGIA;;
CRISTINA TELOEKEN;CLINICA MOVIMENTE- SAUDE & DESENVOLVIMENTO;439;RUA GENERAL CÂMARA;CENTRO;RIO GRANDE;RS;CRS 03 Pelotas;PSICOLOGIA;;
CRP CLINICA MEDICA LTDA;CLINICA RENAL PRIME;701;SMHN QUADRA 2 BLOCO B;ASA NORTE;BRASILIA;DF;Distrito Federal;NEFROLOGIA;30203720;
CSI SERVICOS MEDICOS LTDA;INSTITUTO JOY;2024;RUA CIRO MELO;JARDIM CENTRAL;DOURADOS;MS;NCT de Dourados;ORTOPEDIA E TRAUMATOLOGIA;33059030;
